Designator	Value	Quantity	Manufacturer	Manuf p/n	Vendor	Vendor p/n	COST	Footprint
"C6A"	"0.1uF"	"1"	"TDK"	"C4532C0G1H104J"	"DigiKey"	"445-2707-1-ND"	"4.12"	"1812"
"C6B"	"0.1uF"	"1"	"TDK"	"C4532C0G1H104J"	"DigiKey"	"445-2707-1-ND"	"4.12"	"1812"
"C6C"	"0.1uF"	"1"	"TDK"	"C4532C0G1H104J"	"DigiKey"	"445-2707-1-ND"	"4.12"	"1812"
"C6D"	"0.1uF"	"1"	"TDK"	"C4532C0G1H104J"	"DigiKey"	"445-2707-1-ND"	"4.12"	"1812"
"C7"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_0805"
"C8A"	"150pF"	"1"	"AVX"	"08055A151JAT2A"	"DigiKey"	"478-1318-1-ND"	"0.11"	"SMD_0805"
"C8B"	"150pF"	"1"	"AVX"	"08055A151JAT2A"	"DigiKey"	"478-1318-1-ND"	"0.11"	"SMD_0805"
"C8C"	"150pF"	"1"	"AVX"	"08055A151JAT2A"	"DigiKey"	"478-1318-1-ND"	"0.11"	"SMD_0805"
"C8D"	"150pF"	"1"	"AVX"	"08055A151JAT2A"	"DigiKey"	"478-1318-1-ND"	"0.11"	"SMD_0805"
"C9A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C9B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C9C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C9D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C10A"	"6.8uF"	"1"	"Nichicon"	"F911V685MCC"	"DigiKey"	"493-2325-1-ND"	"1.55"	"SMD_CAP_6032"
"C10B"	"6.8uF"	"1"	"Nichicon"	"F911V685MCC"	"DigiKey"	"493-2325-1-ND"	"1.55"	"SMD_CAP_6032"
"C10C"	"6.8uF"	"1"	"Nichicon"	"F911V685MCC"	"DigiKey"	"493-2325-1-ND"	"1.55"	"SMD_CAP_6032"
"C10D"	"6.8uF"	"1"	"Nichicon"	"F911V685MCC"	"DigiKey"	"493-2325-1-ND"	"1.55"	"SMD_CAP_6032"
"C11A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C11B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C11C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C11D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C12A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C12B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C12C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C12D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C13A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C13B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C13C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C13D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C14A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C14B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C14C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C14D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C15A"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C15B"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C15C"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C15D"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C16A"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C16B"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C16C"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C16D"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C17A"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_0805"
"C17B"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_0805"
"C17C"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_0805"
"C17D"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_0805"
"C18A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C18B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C18C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C18D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C19A"	"0.01uF"	"1"	"MURATA"	"GRM2195C1H103JA01D"	"DigiKey"	"490-1642-1-ND"	"0.45"	"SMD_0805"
"C19B"	"0.01uF"	"1"	"MURATA"	"GRM2195C1H103JA01D"	"DigiKey"	"490-1642-1-ND"	"0.45"	"SMD_0805"
"C19C"	"0.01uF"	"1"	"MURATA"	"GRM2195C1H103JA01D"	"DigiKey"	"490-1642-1-ND"	"0.45"	"SMD_0805"
"C19D"	"0.01uF"	"1"	"MURATA"	"GRM2195C1H103JA01D"	"DigiKey"	"490-1642-1-ND"	"0.45"	"SMD_0805"
"C20A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C20B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C20C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C20D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C21A"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C21B"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C21C"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C21D"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C22A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C22B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C22C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C22D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C23A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C23B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C23C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C23D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C24A"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_CAP_3216"
"C24B"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_CAP_3216"
"C24C"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_CAP_3216"
"C24D"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_CAP_3216"
"C25A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C25B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C25C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C25D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C26A"	"0.01uF"	"1"	"MURATA"	"GRM2195C1H103JA01D"	"DigiKey"	"490-1642-1-ND"	"0.45"	"SMD_0805"
"C26B"	"0.01uF"	"1"	"MURATA"	"GRM2195C1H103JA01D"	"DigiKey"	"490-1642-1-ND"	"0.45"	"SMD_0805"
"C26C"	"0.01uF"	"1"	"MURATA"	"GRM2195C1H103JA01D"	"DigiKey"	"490-1642-1-ND"	"0.45"	"SMD_0805"
"C26D"	"0.01uF"	"1"	"MURATA"	"GRM2195C1H103JA01D"	"DigiKey"	"490-1642-1-ND"	"0.45"	"SMD_0805"
"C27"	"1000p"	"1"	"AVX"	"08055A102JAT2A"	"DigiKey"	"478-1328-1-ND"	"0.13"	"SMD_0805"
"C28A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C28B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C28C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C28D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C29A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C29B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C29C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C29D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C30A"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C30B"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C30C"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C30D"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C31A"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C31B"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C31C"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C31D"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C32"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C33"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C34"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C35"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C36"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C37"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C38"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C39"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C40"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C41"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C42"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C43"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C44"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C45"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C46A"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_0805"
"C46B"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_0805"
"C46C"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_0805"
"C46D"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_0805"
"C47"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C48A"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C48B"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C48C"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C48D"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C49A"	"270pF"	"1"	"AVX"	"08055A271JAT2A"	"DigiKey"	"478-1321-1-ND"	"0.22"	"SMD_0805"
"C49B"	"270pF"	"1"	"AVX"	"08055A271JAT2A"	"DigiKey"	"478-1321-1-ND"	"0.22"	"SMD_0805"
"C49C"	"270pF"	"1"	"AVX"	"08055A271JAT2A"	"DigiKey"	"478-1321-1-ND"	"0.22"	"SMD_0805"
"C49D"	"270pF"	"1"	"AVX"	"08055A271JAT2A"	"DigiKey"	"478-1321-1-ND"	"0.22"	"SMD_0805"
"C50"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C51"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C52"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C53"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C54"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C55"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C56"	"0.1u"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C57"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C58"	"10uF"	"1"	"KEMET"	"T494A106M016AT"	"DigiKey"	"399-3824-1-ND"	"0.78"	"SMD_CAP_3216"
"C59"	"6.8uF"	"1"	"Nichicon"	"F911V685MCC"	"DigiKey"	"493-2325-1-ND"	"1.55"	"SMD_CAP_6032"
"C60"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_0805"
"C61"	"1uF"	"1"	"MURATA"	"GRM21BR71H105KA12L"	"DigiKey"	"490-4736-1-ND"	"0.48"	"SMD_0805"
"D1"	"LED SMD"	"1"	"PANASONIC SSG"	"LNJ306G5UUX"	"DIGIKEY"	"P11500CT-ND"	"0.33"	"SMD_0805_LED"
"D2"	"LED SMD"	"1"	"PANASONIC SSG"	"LNJ306G5UUX"	"DIGIKEY"	"P11500CT-ND"	"0.33"	"SMD_0805_LED"
"D3"	"LED SMD"	"1"	"PANASONIC SSG"	"LNJ306G5UUX"	"DIGIKEY"	"P11500CT-ND"	"0.33"	"SMD_0805_LED"
"D4"	"LED SMD"	"1"	"PANASONIC SSG"	"LNJ306G5UUX"	"DIGIKEY"	"P11500CT-ND"	"0.33"	"SMD_0805_LED"
"D5"	"LED SMD"	"1"	"PANASONIC SSG"	"LNJ306G5UUX"	"DIGIKEY"	"P11500CT-ND"	"0.33"	"SMD_0805_LED"
"D6"	"LED SMD"	"1"	"PANASONIC SSG"	"LNJ306G5UUX"	"DIGIKEY"	"P11500CT-ND"	"0.33"	"SMD_0805_LED"
"J5"	"QMSS-EM-PC4"	"1"	"SAMTEC"	"QMSS-078-01-L-D-EM2-PC4"	"SAMETC"	"QMSS-078-01-L-D-EM2-PC4"	"20.00"	"QMS EDGE PWR PINS"
"L1A"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L1B"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L1C"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L1D"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L2A"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L2B"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L2C"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L2D"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L3A"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L3B"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L3C"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L3D"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L4A"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L4B"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L4C"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L4D"	"10uH"	"1"	"MURATA"	"LQH32MN100J23L"	"DigiKey"	"490-2505-1-ND"	"0.39"	"SMD_1210_INDUCT"
"L5"	""	"1"	""	""	""	""	""	"SMD_1206"
"P1"	""	"1"	""	""	""	""	""	"HDR2X10"
"P2"	""	"1"	""	""	""	""	""	"HDR1X2"
"P3"	""	"1"	""	""	""	""	""	"HDR2X5"
"Q1"	"FDV304P"	"1"	"FAIRCHILD"	"FDV304P"	"DIGIKEY"	"FDV304PCT-ND"	"0.46"	"SMD_SOT23_3"
"Q10A"	"IFN860"	"1"	"INTERFET"	"IFN860"	"INTERFET"	"IFN860"	"12.18"	"TO-71"
"Q10B"	"IFN860"	"1"	"INTERFET"	"IFN860"	"INTERFET"	"IFN860"	"12.18"	"TO-71"
"Q10C"	"IFN860"	"1"	"INTERFET"	"IFN860"	"INTERFET"	"IFN860"	"12.18"	"TO-71"
"Q10D"	"IFN860"	"1"	"INTERFET"	"IFN860"	"INTERFET"	"IFN860"	"12.18"	"TO-71"
"R1A"	"1K500"	"1"	"Vishay"	"300144  Series 1K500/3K480"	""	""	"24.12"	"Vishay 3 pin"
"R1B"	"1K500"	"1"	"Vishay"	"300144  Series 1K500/3K480"	""	""	"24.12"	"Vishay 3 pin"
"R1C"	"1K500"	"1"	"Vishay"	"300144  Series 1K500/3K480"	""	""	"24.12"	"Vishay 3 pin"
"R1D"	"1K500"	"1"	"Vishay"	"300144  Series 1K500/3K480"	""	""	"24.12"	"Vishay 3 pin"
"R2A"	"200R"	"1"	"Vishay"	"300144 Series 200R0/2K460"	""	""	"0.09"	"vishay 3 pin"
"R2B"	"200R"	"1"	"Vishay"	"300144 Series 200R0/2K460"	""	""	"0.09"	"vishay 3 pin"
"R2C"	"200R"	"1"	"Vishay"	"300144 Series 200R0/2K460"	""	""	"0.09"	"vishay 3 pin"
"R2D"	"200R"	"1"	"Vishay"	"300144 Series 200R0/2K460"	""	""	"0.09"	"vishay 3 pin"
"R3A"	"200R"	"1"	"Vishay"	"CRCW0805200RFNEA"	"DigiKey"	"541-200CCT-ND"	"0.09"	"SMD_0805"
